ID,Name,Title,Father_ID,Mother_ID,Spouse_ID,Brother_ID,Sister_ID,Son_ID,Daughter_ID,,,,,
246,Harry,Duke of Sussex,234,238,247,244,None,261,None,,,,,
247,Meghan,Duchess of Sussex,None,None,246,None,None,261,None,,,,,
248,Beatrice,Princess of Great Britain,236,242,None,None,249,None,None,,,,,
249,Eugenie,Princess of Great Britain,236,242,262,None,248,None,None,,,,,
250,Peter Philips,None,240,235,252,None,251,None,"254,255",,,,,
251,Zara Philips,None,240,235,253,250,None,None,"256,257",,,,,
252,Autumn Philips,None,None,None,250,None,None,None,"254,255",,,,,
253,Mike Tindall,None,None,None,251,None,None,None,"256,257",,,,,
254,Savannah,None,250,252,None,None,255,None,None,,,,,
255,Isla,None,250,252,None,None,254,None,None,,,,,
256,Mia,None,253,251,None,None,257,None,None,,,,,
257,Lena,None,253,251,None,None,256,None,None,,,,,
258,George of Cambridge,Prince of Great Britain,244,245,None,260,259,None,None,,,,,
259,Charlotte of Cambridge,Princess of Great Britain,244,245,None,"258,260",None,None,None,,,,,
260,Louis of Cambridge,Prince of Great Britain,244,245,None,258,259,None,None,,,,,
261,Archie of Sussex,Prince of Great Britain,246,247,None,None,None,None,None,,,,,
262,Jack Brooksbank,None,None,None,249,None,None,None,None,,,,,
263,Lady Louise,None,237,243,None,264,None,None,None,,,,,
264,Viscount Severn,None,237,243,None,None,263,None,None,,,,,
